DATE,start_time,location,100db_signal_start,100db_signal_end,signal_dB,noise_start,noise_end,noise_dB,100db_bottom_freq,100db_top_freq,signal_linear,noise_linear,SNR_linear,SNR_dB,Day,distance,Expected,FileName,MicUsed
7/7/2016,11:16:03,SM 50A,14,19,-35.65,44.5,49.5,-66.15,700,1400,2.72E-04,2.43E-07,1.12E+03,30.5,1,50,66.02059991,TOP_20160707_111550.wav,1
7/7/2016,11:21:03,SM 75A,316,321,-39.01,350,355,-66.32,700,1400,1.26E-04,2.33E-07,5.37E+02,27.3,1,75,62.49877473,TOP_20160707_111550.wav,1
7/7/2016,11:24:03,SM 75A,495,500,-39.33,479,483,-66.06,700,1400,1.17E-04,2.48E-07,4.70E+02,26.72,1,75,62.49877473,TOP_20160707_111550.wav,1
7/7/2016,11:30:03,SM 100A,863,868,-40.48,840,845,-64.37,700,1400,8.95E-05,3.66E-07,2.44E+02,23.87,1,100,60,TOP_20160707_111550.wav,1
7/7/2016,11:33:03,SM 100A,1036.5,1041.5,-43.15,1097,1102,-66.15,700,1400,4.84E-05,2.43E-07,1.99E+02,22.98,1,100,60,TOP_20160707_111550.wav,1
7/7/2016,11:39:03,SM 125A,1395,1400,-46.92,1389,1394,-64.36,700,1400,2.03E-05,3.66E-07,5.45E+01,17.36,1,125,58.06179974,TOP_20160707_111550.wav,1
7/7/2016,11:42:03,SM 125A,1584,1589,-45.88,1605,1610,-63.44,700,1400,2.58E-05,4.53E-07,5.60E+01,17.48,1,125,58.06179974,TOP_20160707_111550.wav,1
7/7/2016,11:48:03,SM 150A,1941,1946,-48.88,1925,1930,-64.87,700,1400,1.29E-05,3.26E-07,3.87E+01,15.88,1,150,56.47817482,TOP_20160707_111550.wav,1
7/7/2016,11:51:03,SM 150A,2115,2120,-49.61,2105,2110,-63.97,700,1400,1.09E-05,4.01E-07,2.63E+01,14.2,1,150,56.47817482,TOP_20160707_111550.wav,1
7/7/2016,11:56:03,SM 175A,2416,2421,-51.79,2408.5,2413.5,-65.81,700,1400,6.62E-06,2.62E-07,2.42E+01,13.84,1,175,55.13923903,TOP_20160707_111550.wav,1
7/7/2016,11:59:03,SM 175A,2604.5,2609.5,-50.81,2590,2595,-64.99,700,1400,8.30E-06,3.17E-07,2.52E+01,14.01,1,175,55.13923903,TOP_20160707_111550.wav,1
